ckpt,mAP50,mAP50_95,AP_small,AP_medium,AP_large,n_small,n_medium,n_large
e3p__pos-postsppf__s0,0.6944,0.4352,NA,NA,NA,NA,NA,NA
e6p__lam-1e-2__s0,0.6959,0.435,NA,NA,NA,NA,NA,NA
e7p__nwd-calib__s0,0.6961,0.4368,NA,NA,NA,NA,NA,NA
e7p__nwd-scaleinv__s0,0.6946,0.4369,NA,NA,NA,NA,NA,NA
e7p__nwd-sizegate__s0,0.692,0.4307,NA,NA,NA,NA,NA,NA
e7p__nwd-calib-norsl__s0,0.6981,0.4364,NA,NA,NA,NA,NA,NA
e2p__postsppf__s1,0.6985,0.4349,NA,NA,NA,NA,NA,NA
e2p__postsppf__s2,0.6943,0.4324,NA,NA,NA,NA,NA,NA
e2p__postsppf__s3,0.6971,0.4353,NA,NA,NA,NA,NA,NA
e6p__lam-1e-4__s0,0.6935,0.4354,NA,NA,NA,NA,NA,NA
e6p__lam-1e-4__s1,0.6939,0.4327,NA,NA,NA,NA,NA,NA
e6p__lam-1e-4__s2,0.6989,0.4356,NA,NA,NA,NA,NA,NA
